Months,LTV %,Borrow 30%,Borrow 50%,Borrow 70%
0,40.0,4000.0,4000.0,4000.0
3,38.75,2985.0,2486.0,2041.0
6,37.5,2580.0,1960.0,1426.0
9,36.25,2285.0,1619.0,1119.0
12,35.0,2057.0,1339.0,858.0
15,33.75,1830.0,1175.0,705.0
18,32.5,1641.0,994.0,558.0
21,31.25,1505.0,846.0,448.0
24,30.0,1363.0,732.0,367.0
27,28.75,1248.0,638.0,298.0
30,27.5,1099.0,543.0,237.0
33,26.25,1037.0,475.0,195.0
36,25.0,907.0,417.0,160.0
